"","Version","SystemRequirements"
"vapour","0.8.5","GDAL (>= 2.0.1), PROJ.4 (>= 4.8.0), C++11"
"varitas","0.0.2","perl, bedtools (>=2.27.1), bwa"
"VARsignR","0.1.3","gcc (>= 4.0)"
"vaultr","1.1.0","vault"
"VBLPCM","2.4.8","Gnu Scientific Library"
"vcr","1.0.2","C++11"
"vdiffr","1.0.2","C++11"
"vegawidget","0.3.2","To use image and spec-compilation functions, i.e.
suggests: nodejs (> 8), and for MacOS: X11"
"virtuoso","0.1.6","virtuoso-opensource (Linux). For Mac & Windows,
this package can automate Virtuoso installation."
"visit","2.1","GNU make"
"vitae","0.4.2","pandoc (>= 2.7) - http://pandoc.org"
"vlad","0.2.2","C++11"
"vmr","0.0.3","Vagrant <https://www.vagrantup.com>"
"vroom","1.5.5","C++11"
"walker","1.0.3","C++14, GNU make"
"webdriver","1.0.6","PhantomJS (http://phantomjs.org/)"
"WebGestaltR","0.4.4","C++11"
"webp","1.0","libwebp"
"webshot","0.5.2","PhantomJS (http://phantomjs.org) for taking
screenshots, ImageMagick (http://www.imagemagick.org) or
GraphicsMagick (http://www.graphicsmagick.org) and OptiPNG
(http://optipng.sourceforge.net) for manipulating images."
"websocket","1.4.1","C++11, GNU make, OpenSSL >= 1.0.2"
"WeightedCluster","1.6-0","C++11"
"wgaim","2.0-1","asreml-R 4.x"
"whitebox","2.0.0","WhiteboxTools
(https://github.com/jblindsay/whitebox-tools/releases/latest)"
"wk","0.5.0","C++11"
"worcs","0.1.8","pandoc (>= 1.14) - http://pandoc.org"
"wordnet","0.1-15","Java (>= 5.0); WordNet database files (direct
download:
<https://wordnetcode.princeton.edu/3.0/WNdb-3.0.tar.gz>; Debian
and Fedora package: wordnet)"
"workflowr","1.6.2","pandoc (>= 1.12.3) - http://pandoc.org"
"WriteXLS","6.3.0","Perl"
"wsrf","1.7.22","C++11"
"x.ent","1.1.7","Perl (>= 5.0), Unitex (>= 3.0
http://www-igm.univ-mlv.fr/~unitex/)"
"XBRL","0.99.19","libxml2 (>= 2.9.1)"
"xgboost","1.4.1.1","GNU make, C++14"
"xgobi","1.2-15","The standalone program xgobi must be installed
additionally, see file README, or INSTALL.windows under Windows"
"XLConnect","1.0.5","Java (>= 8, <= 17)"
"xlsimple","1.0.5","Java (>= 8, <= 11)"
"xlsx","0.6.5","java (>= 1.6)"
"XML","3.99-0.8","libxml2 (>= 2.6.3)"
"xml2","1.3.2","libxml2: libxml2-dev (deb), libxml2-devel (rpm)"
"XRJulia","0.9.0","Julia, v 1.0 or later"
"xrnet","0.1.7","C++11"
"xslt","1.4.3","libxslt: libxslt1-dev (deb), libxslt-devel (rpm)"
"xyz","0.2","C++11"
"youtubecaption","1.0.0","Anaconda (https://www.anaconda.com/download/)"
"YPBP","0.0.1","GNU make"
"YPPE","1.0.1","GNU make"
